Date,Open,High,Low,Close,Volume
2019-03-01 00:00:00,126.643,126.686,126.617,126.641,0
2019-03-01 01:00:00,126.641,126.689,126.594,126.645,0
2019-03-01 02:00:00,126.643,126.864,126.638,126.809,0
2019-03-01 03:00:00,126.808,127.011,126.799,126.96,0
2019-03-01 04:00:00,126.959,127.067,126.92,127.051,0
2019-03-01 05:00:00,127.05,127.08,126.95,126.953,0
2019-03-01 06:00:00,126.953,127.011,126.943,126.998,0
2019-03-01 07:00:00,126.998,127.076,126.997,127.015,0
2019-03-01 08:00:00,127.015,127.119,127.013,127.047,0
2019-03-01 09:00:00,127.047,127.176,127.044,127.153,0
2019-03-01 10:00:00,127.154,127.162,126.973,127.152,0
2019-03-01 11:00:00,127.152,127.246,127.1,127.12,0
2019-03-01 12:00:00,127.12,127.259,127.081,127.231,0
2019-03-01 13:00:00,127.23,127.327,127.2,127.288,0
2019-03-01 14:00:00,127.288,127.326,127.226,127.256,0
2019-03-01 15:00:00,127.256,127.361,127.231,127.298,0
2019-03-01 16:00:00,127.299,127.491,127.281,127.48,0
2019-03-01 17:00:00,127.491,127.491,127.225,127.403,0
2019-03-01 18:00:00,127.403,127.418,127.247,127.274,0
2019-03-01 19:00:00,127.274,127.342,127.221,127.246,0
2019-03-01 20:00:00,127.247,127.262,127.206,127.219,0
2019-03-01 21:00:00,127.22,127.276,127.186,127.206,0
2019-03-01 22:00:00,127.207,127.264,127.185,127.247,0
2019-03-01 23:00:00,127.248,127.283,127.155,127.172,0
2019-03-04 00:00:00,127.232,127.321,127.142,127.228,0
2019-03-04 01:00:00,127.228,127.374,127.226,127.32,0
2019-03-04 02:00:00,127.319,127.345,127.219,127.306,0
2019-03-04 03:00:00,127.306,127.338,127.264,127.311,0
2019-03-04 04:00:00,127.311,127.315,127.24,127.266,0
2019-03-04 05:00:00,127.266,127.3,127.222,127.286,0
2019-03-04 06:00:00,127.286,127.297,127.222,127.233,0
2019-03-04 07:00:00,127.233,127.259,127.195,127.207,0
2019-03-04 08:00:00,127.206,127.256,127.169,127.243,0
2019-03-04 09:00:00,127.242,127.28,127.056,127.096,0
2019-03-04 10:00:00,127.096,127.107,126.802,126.888,0
2019-03-04 11:00:00,126.888,126.923,126.813,126.86,0
2019-03-04 12:00:00,126.858,126.891,126.781,126.814,0
2019-03-04 13:00:00,126.815,126.833,126.722,126.782,0
2019-03-04 14:00:00,126.782,126.879,126.744,126.876,0
2019-03-04 15:00:00,126.876,126.971,126.848,126.938,0
2019-03-04 16:00:00,126.939,126.961,126.747,126.784,0
2019-03-04 17:00:00,126.784,126.8,126.579,126.626,0
2019-03-04 18:00:00,126.626,126.626,126.436,126.512,0
2019-03-04 19:00:00,126.512,126.603,126.499,126.588,0
2019-03-04 20:00:00,126.588,126.633,126.541,126.592,0
2019-03-04 21:00:00,126.593,126.616,126.52,126.599,0
2019-03-04 22:00:00,126.597,126.696,126.575,126.682,0
2019-03-04 23:00:00,126.682,126.725,126.676,126.7,0
2019-03-05 00:00:00,126.709,126.709,126.62,126.663,0
2019-03-05 01:00:00,126.664,126.728,126.653,126.71,0
2019-03-05 02:00:00,126.71,126.802,126.689,126.758,0
2019-03-05 03:00:00,126.757,126.874,126.708,126.717,0
2019-03-05 04:00:00,126.717,126.836,126.71,126.82,0
2019-03-05 05:00:00,126.82,126.829,126.734,126.734,0
2019-03-05 06:00:00,126.734,126.799,126.734,126.777,0
